title,date,link,tag
Crypto Payments Firm Halts Operations Citing Singapore’s New Regulatory Regime,"Mar 13, 2020",/web/20200330164603/https://www.coindesk.com/crypto-payments-firm-halts-operations-citing-singapores-new-regulatory-regime,Singapore
New York Regulator Tells Crypto Firms to Develop Coronavirus Contingency Plans,"Mar 13, 2020",/web/20200330164603/https://www.coindesk.com/new-york-regulator-tells-crypto-firms-to-develop-coronavirus-contingency-plans,Coronavirus
French Financial Regulator Suggests Europewide Security Token Sandbox,"Mar 12, 2020",/web/20200330164603/https://www.coindesk.com/french-financial-regulator-suggests-europe-wide-security-token-sandbox,Regulation
"The Cryptocurrency Act of 2020 Is ‘Dead on Arrival,’ Washington Tells Sponsors","Mar 10, 2020",/web/20200330164603/https://www.coindesk.com/the-cryptocurrency-act-of-2020-is-dead-on-arrival-washington-dc-tells-sponsors,Regulation
"Huobi Exchange Plots Return to US Crypto Market as Soon as This Month, Exec Says","Apr 8, 2020",/web/20200420044505/https://www.coindesk.com/huobi-exchange-plots-return-to-us-crypto-market-as-soon-as-this-month-exec-says,Huobi
Why Are Crypto Companies Going to Abu Dhabi?,"Apr 3, 2020",/web/20200420044505/https://www.coindesk.com/why-are-crypto-companies-going-to-abu-dhabi,Regulation
FATF Says US ‘Largely Compliant’ With Virtual Currency Recommendations,"Apr 2, 2020",/web/20200420044505/https://www.coindesk.com/fatf-says-us-largely-compliant-with-virtual-currency-recommendations,Regulation
Telegram Hopes It Can Still Sell Tokens to Non-US Investors After Court Ruling,"Mar 30, 2020",/web/20200420044505/https://www.coindesk.com/telegram-hopes-it-can-still-sell-tokens-to-non-us-investors-after-court-ruling,Telegram
US County Extends Rule Making Bitcoin Mining Firms Invest in Renewable Energy,"Mar 27, 2020",/web/20200420044505/https://www.coindesk.com/us-county-officials-mull-making-existing-bitcoin-mining-controls-permanent,Mining
"Singapore Temporarily Exempts Crypto Firms, Including Coinbase, From New Licensing Regime","Mar 27, 2020",/web/20200420044505/https://www.coindesk.com/singapore-temporarily-exempts-crypto-firms-including-coinbase-from-new-licensing-regime,Coinbase
"Global Stablecoins May Be Subject to Securities Regulation, Says IOSCO","Mar 25, 2020",/web/20200420044505/https://www.coindesk.com/global-stablecoins-may-be-subject-to-securities-regulation-says-iosco,Stablecoins
"Russian Prime Minister Introduces Bill to Allow Fintech Sandboxes, Blockchain Included","Mar 24, 2020",/web/20200420044505/https://www.coindesk.com/russian-prime-minister-introduces-bill-to-allow-fintech-sandboxes-blockchain-included,Russia
Kik Backs Away From Jury Trial Request in SEC Fight Over $100M Token Sale,"Mar 23, 2020",/web/20200420044505/https://www.coindesk.com/kik-backs-away-from-jury-trial-request-in-sec-fight-over-100m-token-sale,SEC
"Telegram’s Fight Against SEC Will Help Push Cryptocurrency Legislation, Says Trade Group","Apr 9, 2020",/web/20200425051502/https://www.coindesk.com/telegrams-fight-against-sec-will-help-push-cryptocurrency-legislation-says-trade-group,Blockchain Association
CoinShares Hires WisdomTree Exec as Company Plans Expansion Outside UK,"Apr 9, 2020",/web/20200425051502/https://www.coindesk.com/coinshares-hires-wisdomtree-exec-as-company-plans-expansion-outside-uk,CoinShares
"Huobi Exchange Plots Return to US Crypto Market as Soon as This Month, Exec Says","Apr 8, 2020",/web/20200425051502/https://www.coindesk.com/huobi-exchange-plots-return-to-us-crypto-market-as-soon-as-this-month-exec-says,Huobi
Why Are Crypto Companies Going to Abu Dhabi?,"Apr 3, 2020",/web/20200425051502/https://www.coindesk.com/why-are-crypto-companies-going-to-abu-dhabi,Regulation
FATF Says US ‘Largely Compliant’ With Virtual Currency Recommendations,"Apr 2, 2020",/web/20200425051502/https://www.coindesk.com/fatf-says-us-largely-compliant-with-virtual-currency-recommendations,Regulation
Telegram Hopes It Can Still Sell Tokens to Non-US Investors After Court Ruling,"Mar 30, 2020",/web/20200425051502/https://www.coindesk.com/telegram-hopes-it-can-still-sell-tokens-to-non-us-investors-after-court-ruling,Telegram
US County Extends Rule Making Bitcoin Mining Firms Invest in Renewable Energy,"Mar 27, 2020",/web/20200425051502/https://www.coindesk.com/us-county-officials-mull-making-existing-bitcoin-mining-controls-permanent,Mining
"Singapore Temporarily Exempts Crypto Firms, Including Coinbase, From New Licensing Regime","Mar 27, 2020",/web/20200425051502/https://www.coindesk.com/singapore-temporarily-exempts-crypto-firms-including-coinbase-from-new-licensing-regime,Coinbase
